CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U55101AN2001PTC000067,HOTEL APARUPA (ANDAMANS) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,337000.00,2001-12-06,"Goal Guar   Link Road,Port Blair,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,55101,Trading
U55101AN2022PTC005591,COASTALMILE PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,10000000.00,9050000.00,2022-04-04,"Survey No. 173/1/2, Lillypur   Haddo Village,,Port Blair,Andaman Islands,Andaman and Nicobar Islands,744102-India",Unlisted,Active,andaman and nicobar islands,Indian,55101,Trading
U55101AN2023PTC006049,AMR GRAND PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2023-10-12,"C/O AMR GRAAND,PATHARGUDA,BATHUBASTI,Port Blair,South Andaman,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,55101,"Transport, storage and Communications"
U15122AN2012PTC000176,JEHOVAN MARINE EXPORTS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,500000.00,500000.00,2012-07-18,"SHOP NO. 23, MUNICIPAL MARKET,   DAIRY FARM, NR. GANESH TEMPLE, SOUTH AND,AMAN,,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,15122,Manufacturing (Food stuffs)
U43299AN2024PTC006119,DURAI KARTHIKA INFRA PROJECTS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2024-10-28,"C/O RATAN DEI,S/LINE NEAR G1/1191,Port Blair,South Andaman,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,43299,Construction
U45208AN2011PTC000165,P SURYA RAO CONSTRUCTION (INDIA) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,500000.00,500000.00,2011-10-03,"109 M G ROAD   MIDDLE POINT,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,45208,Construction
U28111AN1989PTC000033,SURYADWEEP ISPAT UDHYOG PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,0.00,1989-09-12,"Schooline,Port Blair,Andaman and Nicobar Islands,744103-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,28111,"Manufacturing (Metals and Chemicals, and products thereof)"
U74900AN2010PTC000148,AGENCY HOUSE (A&N ISLANDS) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000000.00,99924000.00,2010-11-02,"171 ABERDEEN BAZAR   PORT BLAIR,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,74900,Business Services
U45201AN2014PTC000218,ARUL EARTH MOVERS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,2000000.00,100000.00,2014-03-10,"BIMBLITAN   GARACHARMA,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,45201,Construction
U92419AN2000PTC000063,ANDAMAN SCUBA CLUB PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,7100.00,2000-06-21,"South Point   Port Blair,South Andaman,Andaman and Nicobar Islands,744101-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,92419,"Community, personal and Social Services"
